,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu_movie[54],1.758,0.906,0.077,3.507,0.013,0.01,4611.0,4442.0,4617.0,5732.0,1.0
mu_movie[55],1.437,1.222,-0.841,3.73,0.014,0.011,7877.0,6319.0,7879.0,6361.0,1.0
mu_movie[56],-2.62,0.961,-4.461,-0.87,0.013,0.009,5394.0,5394.0,5391.0,6487.0,1.0
mu_movie[57],0.392,0.917,-1.392,2.043,0.013,0.009,5061.0,5015.0,5062.0,6240.0,1.0
mu_movie[58],0.992,0.911,-0.698,2.715,0.013,0.009,4971.0,4971.0,4966.0,6226.0,1.0
mu_movie[59],-1.279,0.892,-2.943,0.419,0.015,0.011,3540.0,3540.0,3544.0,5244.0,1.0
mu_movie[60],2.291,0.989,0.417,4.14,0.014,0.01,5351.0,5351.0,5361.0,6076.0,1.0
mu_movie[61],-0.234,0.985,-2.052,1.611,0.013,0.01,5623.0,4929.0,5628.0,6506.0,1.0
mu_movie[62],-1.159,0.937,-2.843,0.681,0.013,0.01,4989.0,4676.0,4993.0,6026.0,1.0
mu_movie[63],-1.594,0.952,-3.408,0.185,0.013,0.009,5311.0,5311.0,5304.0,6173.0,1.0
mu_movie[64],0.261,0.893,-1.479,1.884,0.014,0.01,3872.0,3872.0,3870.0,6230.0,1.0
mu_movie[65],0.794,1.099,-1.26,2.845,0.013,0.01,6708.0,5860.0,6726.0,6766.0,1.0
mu_movie[66],2.086,1.089,-0.019,4.04,0.013,0.009,7085.0,7045.0,7078.0,6311.0,1.0
mu_movie[67],-0.855,0.971,-2.626,0.964,0.015,0.011,4106.0,4078.0,4103.0,5486.0,1.0
mu_movie[68],6.333,1.088,4.252,8.301,0.013,0.009,6943.0,6814.0,6936.0,6660.0,1.0
mu_movie[69],2.624,1.178,0.36,4.783,0.014,0.01,7311.0,6923.0,7321.0,6761.0,1.0
mu_movie[70],-0.681,1.093,-2.724,1.336,0.014,0.01,6487.0,5451.0,6492.0,6724.0,1.0
mu_movie[71],0.127,1.001,-1.736,2.013,0.013,0.01,6184.0,4732.0,6188.0,6195.0,1.0
mu_movie[72],-0.029,1.131,-2.118,2.105,0.013,0.012,7690.0,4740.0,7684.0,6718.0,1.0
mu_movie[73],1.263,1.179,-1.004,3.415,0.014,0.011,7442.0,6058.0,7447.0,6756.0,1.0
mu_movie[74],-0.16,1.05,-2.144,1.793,0.013,0.01,6642.0,5092.0,6641.0,7079.0,1.0
mu_movie[75],-1.118,1.103,-3.155,1.017,0.015,0.011,5651.0,5159.0,5645.0,5496.0,1.0
mu_movie[76],0.613,1.025,-1.331,2.518,0.014,0.011,5188.0,4721.0,5229.0,5815.0,1.0
mu_movie[77],1.429,0.879,-0.264,3.036,0.013,0.009,4846.0,4846.0,4845.0,5715.0,1.0
mu_movie[78],-5.608,0.987,-7.537,-3.831,0.014,0.01,5083.0,5083.0,5083.0,6376.0,1.0
mu_movie[79],-2.411,0.904,-4.162,-0.771,0.013,0.009,5114.0,4879.0,5119.0,6063.0,1.0
mu_movie[80],3.476,0.915,1.788,5.189,0.015,0.01,3823.0,3823.0,3821.0,5744.0,1.0
mu_movie[81],-1.344,0.949,-3.146,0.432,0.014,0.01,4482.0,4368.0,4481.0,5712.0,1.0
mu_movie[82],1.113,0.997,-0.694,3.059,0.013,0.009,5859.0,5859.0,5850.0,7013.0,1.0
mu_movie[83],1.069,1.08,-0.905,3.174,0.014,0.011,6360.0,4873.0,6363.0,6071.0,1.0
mu_movie[84],1.336,1.038,-0.537,3.367,0.014,0.01,5771.0,5549.0,5772.0,5737.0,1.0
mu_movie[85],-0.157,1.055,-2.144,1.798,0.013,0.01,6436.0,5246.0,6442.0,6325.0,1.0
mu_movie[86],0.319,1.046,-1.666,2.271,0.015,0.011,4901.0,4668.0,4903.0,6322.0,1.0
mu_movie[87],0.356,1.067,-1.652,2.339,0.014,0.01,6224.0,5341.0,6229.0,6890.0,1.0
mu_movie[88],-1.21,1.22,-3.47,1.13,0.015,0.012,6591.0,5153.0,6599.0,5648.0,1.0
